Date,Open,High,Low,Close,Volume
12/30/2022,"14.33","14.63","14.23","14.61","310,489,797"
12/29/2022,"14.40","14.68","14.23","14.60","354,923,196"
12/28/2022,"13.93","14.26","13.88","14.04","351,066,476"
12/27/2022,"15.07","15.10","14.06","14.12","464,902,295"
12/23/2022,"15.20","15.34","14.88","15.21","349,325,587"
12/22/2022,"16.09","16.14","14.88","15.34","565,045,224"
12/21/2022,"16.11","16.63","16.10","16.50","325,025,427"
12/20/2022,"16.06","16.31","15.85","16.09","403,259,796"
12/19/2022,"16.57","16.61","16.15","16.25","354,038,786"
12/16/2022,"16.86","17.04","16.41","16.57","478,231,905"
12/15/2022,"17.15","17.32","16.70","16.95","478,542,065"
12/14/2022,"17.99","18.25","17.42","17.67","496,888,085"
12/13/2022,"18.53","18.79","17.71","18.07","656,588,823"
12/12/2022,"17.04","17.54","16.80","17.54","457,327,805"
12/09/2022,"17.16","17.58","16.98","17.00","465,338,195"
12/08/2022,"16.27","17.18","15.96","17.17","515,455,505"
12/07/2022,"15.77","16.19","15.67","16.12","372,387,616"
12/06/2022,"16.53","16.57","15.82","15.99","352,694,336"
12/05/2022,"16.68","17.00","16.47","16.61","352,255,196"
12/02/2022,"16.66","16.93","16.45","16.88","371,388,586"
12/01/2022,"17.00","17.27","16.64","17.14","470,976,595"
11/30/2022,"15.70","16.93","15.60","16.92","565,298,194"
11/29/2022,"15.83","15.93","15.52","15.64","298,384,467"
11/28/2022,"16.03","16.36","15.73","15.83","304,151,987"
11/25/2022,"16.32","16.49","16.17","16.27","167,934,298"
11/23/2022,"16.10","16.53","16.05","16.52","427,240,896"
11/22/2022,"15.33","16.06","15.12","16.04","472,866,085"
11/21/2022,"15.15","15.48","15.08","15.32","404,739,296"
11/18/2022,"15.97","16.00","15.12","15.41","492,071,675"
11/17/2022,"15.72","16.27","15.54","15.68","710,893,583"
11/16/2022,"16.16","16.36","15.87","15.91","649,546,834"
11/15/2022,"16.72","17.00","16.38","16.67","545,875,505"
11/14/2022,"16.22","16.54","15.92","16.30","527,852,455"
11/11/2022,"15.81","16.39","15.48","16.33","655,487,493"
11/10/2022,"14.80","15.77","14.55","15.75","700,819,293"
11/09/2022,"14.16","14.21","13.76","13.78","454,413,665"
11/08/2022,"14.80","14.89","14.22","14.60","595,291,944"
11/07/2022,"14.23","14.41","13.95","14.30","410,061,016"
11/04/2022,"13.99","14.23","13.70","14.16","612,575,974"
11/03/2022,"13.04","13.78","12.96","13.42","500,064,875"
11/02/2022,"13.85","14.21","13.21","13.22","672,627,803"
11/01/2022,"13.81","13.93","13.52","13.54","432,816,876"
10/31/2022,"13.78","13.84","13.30","13.50","486,341,015"
10/28/2022,"13.10","13.85","13.06","13.83","521,039,915"
10/27/2022,"13.63","13.84","13.12","13.18","583,113,084"
10/26/2022,"12.87","13.39","12.71","12.90","535,533,275"
10/25/2022,"12.69","13.30","12.66","13.26","505,482,295"
10/24/2022,"12.51","12.71","12.06","12.60","517,457,375"
10/21/2022,"12.10","12.50","11.89","12.47","609,494,404"
10/20/2022,"12.11","12.77","12.11","12.19","652,397,573"
10/19/2022,"11.88","12.35","11.83","12.05","523,130,585"
10/18/2022,"12.34","12.49","11.62","11.97","659,362,023"
10/17/2022,"11.52","11.95","11.52","11.89","580,774,214"
10/14/2022,"12.06","12.11","11.20","11.23","713,432,023"
10/13/2022,"10.97","12.08","10.81","11.96","850,103,041"
10/12/2022,"11.58","11.74","11.35","11.50","492,590,195"
10/11/2022,"11.56","11.85","11.28","11.59","667,481,553"
10/10/2022,"12.04","12.12","11.41","11.67","698,699,293"
10/07/2022,"12.51","12.67","12.02","12.08","672,478,193"
10/06/2022,"13.22","13.66","13.10","13.13","644,156,874"
10/05/2022,"12.91","13.32","12.62","13.21","507,130,695"
10/04/2022,"12.88","13.22","12.88","13.17","584,181,714"
10/03/2022,"12.35","12.68","12.11","12.51","547,478,475"
09/30/2022,"12.09","12.63","12.08","12.14","565,638,394"
09/29/2022,"12.45","12.50","11.95","12.22","532,763,115"
09/28/2022,"12.41","12.82","12.35","12.74","542,413,865"
09/27/2022,"12.51","12.74","12.26","12.41","553,854,054"
09/26/2022,"12.49","12.66","12.21","12.23","547,342,725"
09/23/2022,"12.42","12.61","12.26","12.52","663,309,213"
09/22/2022,"13.07","13.15","12.43","12.56","759,162,262"
09/21/2022,"13.21","14.03","13.11","13.26","807,679,372"
09/20/2022,"13.21","13.48","13.06","13.18","524,817,805"
09/19/2022,"13.01","13.46","13.01","13.38","569,685,224"
09/16/2022,"12.74","13.21","12.62","13.20","670,751,323"
09/15/2022,"13.02","13.23","12.79","12.93","523,625,195"
09/14/2022,"13.25","13.29","12.91","13.13","588,506,514"
09/13/2022,"13.80","13.92","13.10","13.13","714,955,613"
09/12/2022,"14.37","14.55","14.20","14.51","484,159,215"
09/09/2022,"14.16","14.47","14.13","14.39","487,128,395"
09/08/2022,"13.46","14.01","13.37","13.99","624,873,084"
09/07/2022,"13.56","13.84","13.35","13.71","512,657,535"
09/06/2022,"13.73","13.78","13.35","13.47","535,751,205"
09/02/2022,"14.10","14.17","13.59","13.65","743,157,493"
09/01/2022,"14.21","14.38","13.27","13.94","1,178,864,828"
08/31/2022,"15.38","15.54","14.96","15.09","573,709,874"
08/30/2022,"15.96","16.04","15.18","15.47","530,180,695"
08/29/2022,"16.02","16.34","15.77","15.80","496,131,905"
08/26/2022,"17.86","17.92","16.24","16.26","769,127,332"
08/25/2022,"16.84","17.95","16.83","17.91","770,691,242"
08/24/2022,"17.01","17.41","16.90","17.22","522,660,695"
08/23/2022,"16.99","17.47","16.97","17.18","369,985,776"
